code,select_td,buy_td,sell_td,t0,net_ret,mom_5,mom_20,ma20_slope_5,ma20_dev,ma20_over_ma60,vol_20,mdd_10,amt_ma20,y_rel
501025.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,-0.012087267356321707,-0.009569377990430672,0.049695740365111485,0.011200000000000099,0.009509875640087762,0.03304952390548643,0.007632202888989405,-0.023651844843897707,511956.9,5
501050.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.00605720966694423,-0.0024979184013321776,0.060176991150442394,0.013050000000000006,0.01435163625587399,0.019068984856982718,0.009197123849279835,-0.018106995884773824,1994912.75,13
510230.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,-0.015325844528487287,-0.003910068426197455,0.0429887410440124,0.010000000000000009,0.007962807260497584,0.048594544134425766,0.010440440389782655,-0.026923076923076716,54812602.05,3
510630.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.03194358032563005,-0.015544041450777257,0.09070034443168784,0.017200000000000104,0.011606857629645528,0.013636036554651954,0.015126350606285591,-0.021671826625386914,13661680.9,21
510650.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,-0.016455776812499878,-0.00048076923076922906,0.03846153846153855,0.019150000000000222,0.008464504862846,0.04927725560720697,0.010853251282036758,-0.03189493433395851,11231131.4,2
510810.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,-0.0019727123214284825,-0.016260162601625994,0.028328611898017053,0.0006000000000000449,0.00714434348338755,0.010301331464611208,0.017960773188163814,-0.017591339648173276,18411088.35,11
510900.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.03337403073654377,-0.018131101813110062,0.08141321044546856,0.00990000000000002,0.007729745204694938,0.011706210325601596,0.01584105824472183,-0.03443526170798883,461664848.45,22
512070.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,-0.008873089552980051,-0.01631321370309957,0.03786574870912207,0.005049999999999999,0.002160545122153801,0.022140430351075935,0.014217708636759587,-0.02584814216478193,161228910.6,9
512640.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,-0.0017165581452512901,-0.010989010989010839,0.03926096997690531,0.016249999999999876,0.004240124972104464,0.03762880629848331,0.023317030108519304,-0.02067464635473326,3363138.6,12
515170.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.04903916731788094,-0.011494252873563204,0.08860759493670867,0.009800000000000031,0.014150943396226356,0.006215391569668993,0.01548660949079896,-0.018003273322422242,58846015.55,25
515710.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.05308034759873648,-0.014018691588785104,0.08762886597938158,0.010150000000000103,0.013448607108549337,0.005419327144926767,0.014748344332500213,-0.02021772939346811,22271058.45,26
516530.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.02386993756443312,-0.008962868117797673,0.05449591280653965,0.0050000000000000044,0.01335428122545168,0.0017049180327870506,0.015033066906807873,-0.024111675126903598,2350075.25,16
516910.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.02719208360400449,-0.008810572687224627,0.05633802816901423,0.005999999999999894,0.014827761177200305,0.0012607255757941527,0.013855503210707658,-0.02190580503833517,19422007.0,18
517900.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,-0.00765212837701601,-0.005045408678102881,0.050053248136315176,0.010949999999999904,0.012008621574463696,0.059040924654432114,0.012540724768571489,-0.03740157480314965,1303784.6,10
560680.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.029882881416122054,-0.009719222462203025,0.09036860879904873,0.015499999999999958,0.013595667071957473,0.00899661697460874,0.012895815297572569,-0.016146393972012896,19922143.75,20
561320.SH,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.025297383262662176,-0.011587485515643148,0.04151404151404137,0.005049999999999777,0.0011149580423686078,0.016665009446156676,0.010271334833501856,-0.024027459954233388,11011424.05,17
159662.SZ,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.018361922064732417,-0.011037527593819041,0.03823870220162218,0.0045000000000000595,0.004878595861604884,0.01228003784295173,0.01104758471409961,-0.01754385964912286,14545777.9,15
159862.SZ,2024-03-07,2024-03-08,2024-03-15,2024-03-07,0.047191374191279944,-0.015277777777777835,0.08079268292682906,0.01100000000000001,0.010979609297019799,0.005688336520076387,0.015924259661151453,-0.018005540166205036,2166128.0,24
159933.SZ,2024-03-07,2024-03-08,2024-03-15,2024-03-07,-0.00888223118784548,0.0013755158184318717,0.025833724753405507,0.013949999999999907,0.00656757690978238,0.042522522522522754,0.030188963783661718,-0.03637976929902387,184200.55,8
159866.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.03862721217662801,-0.02170138888888895,0.08261287223823244,0.01454999999999984,-0.004856512141280245,0.0708713536003025,0.011860294788523759,-0.03095442820292349,370653077.15,29
159890.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.04526370138740665,0.01948051948051943,0.23784494086728003,0.054950000000000054,0.04163211146127055,0.05061281390981076,0.03148395032746216,-0.04446742502585321,32219812.0,30
159909.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.01889193572695036,0.014311270125223707,0.1595092024539877,0.024949999999999917,0.032410779315367844,0.03982328810350255,0.021495179954369937,-0.03119584055459279,3302894.5,24
159931.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.006934135922535001,-0.011142061281337101,0.011396011396011207,0.013050000000000006,-0.012208271016660444,0.041841307420067864,0.008994634955568927,-0.02001380262249841,1638391.05,11
159940.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.001633386290502914,-0.00990099009900991,0.015801354401805856,0.009000000000000119,-0.012616566099835413,0.03866752763322823,0.009226506492181473,-0.021739130434782594,7569429.7,18
159993.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.000466685613660589,-0.0021276595744680327,0.017353579175704903,0.011850000000000138,-0.009085146841326885,0.020537976389412904,0.010475864471891149,-0.02797927461139904,52943282.25,17
160625.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.0005999099999999258,-0.0043604651162790775,0.013313609467455523,0.007050000000000112,-0.008467829485416578,0.021514120952240257,0.009337530963943802,-0.02005730659025795,67350.85,16
161127.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.013636558518518305,-0.021088435374149728,0.07629020194465208,0.029699999999999838,0.004607651493996112,0.029059951866086786,0.017893155530217374,-0.0487641950567802,12462587.55,22
162415.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.021383509915397836,0.006345177664974555,0.03524804177545682,0.02059999999999995,0.0009887867376348058,0.01312956923929498,0.00810475943446875,-0.027160493827160237,4330473.65,26
167301.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.0168944766847825,-0.013368983957219305,-0.01072386058981234,0.005349999999999966,-0.02677040749043913,0.05377987770983883,0.013624010684110403,-0.032765399737876844,2520912.4,5
180102.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.032014190932338815,-0.02025974025974031,0.19442685243825197,0.08109999999999995,0.009203767123287632,0.06102442301687172,0.022502439001503872,-0.05466399197592786,16708994.8,0
180202.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.018474205435060176,-0.015642458100558643,0.13293682687670794,0.25104999999999933,0.00494057761269584,0.09622418356501261,0.01487975727302012,-0.029201101928374773,10699635.4,4
180501.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.030873000104854165,0.010941774130519777,0.11846087332468658,0.07059999999999977,0.016183517951135373,0.04807844052119825,0.0164531738910563,-0.0379699248120301,11496305.3,1
508018.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.027610723243242985,-0.04424778761061965,0.11410526315789449,0.16195000000000004,-0.019954627529052305,0.057354337801188704,0.01940111056053902,-0.059701492537313494,42411188.0,2
508027.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.02402084308828234,-0.024390243902439157,0.13330911732655304,0.09729999999999972,-0.002286426938266417,0.0496492386184364,0.018723847097345918,-0.0556900726392251,25015492.65,3
508066.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.0022453823828766373,-0.038240368027602,0.048425011753643776,0.09644999999999904,-0.026795845334729673,0.038377877585547004,0.015425741367727,-0.0603932584269663,14441814.1,15
510230.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.0055919184415582635,-0.01766437684003952,0.005020080321284981,0.007649999999999935,-0.017278617710583255,0.05024745669507813,0.009741597044396512,-0.025316455696202778,46000024.55,13
510650.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.009392286158357743,-0.017797017797017922,0.00740009866798208,0.015299999999999425,-0.016780220044779193,0.05016939439397228,0.00991247596522328,-0.02390057361376663,10920163.2,9
512070.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.01394749050083477,-0.0066334991708125735,0.005033557046979942,0.006649999999999934,-0.015369441933097638,0.0330276787230428,0.011154509203042878,-0.03074433656957931,171214965.65,6
512640.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.002287135813168195,-0.014444444444444482,0.005668934240362855,0.011700000000000044,-0.01668421927831054,0.040576784426820334,0.008960461569069917,-0.026878771256171108,3139335.65,14
512930.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.029816614478261005,0.01843722563652328,0.20582120582120567,0.06239999999999979,0.03886799211893255,0.04925529748946755,0.026645805124354098,-0.03962900505902189,80955330.3,28
513520.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.01302827304545473,0.0025923525599480524,0.13499633162142333,0.034849999999999826,0.008606076411526997,0.06858954262026673,0.016585185004395528,-0.02909550917141035,1035989586.55,21
515070.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.024076635432098925,0.019771071800207984,0.21437422552664187,0.05395000000000005,0.041279285979918034,0.05064468714532899,0.02875671904823696,-0.03803803803803796,155135878.1,27
515260.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.019885596969253294,0.010279001468428861,0.14096185737976796,0.029299999999999993,0.029323758228605667,0.028228597800169286,0.018802747043105698,-0.027142857142857135,16254809.45,25
515320.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.01644412254263572,0.007788161993769416,0.1350877192982456,0.027150000000000007,0.02633248730964466,0.02754686226568892,0.0207833092668723,-0.02874432677760974,15183373.3,23
515630.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.007616761183550591,-0.0029910269192421346,0.010101010101010166,0.011850000000000138,-0.012101753519387581,0.026379828978943642,0.01004239585100669,-0.02818270165208958,7272047.85,10
515860.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.0038897579694521234,0.010859728506787292,0.0908203125,0.038149999999999906,0.016378525932666088,0.029861935403260986,0.016412919955738764,-0.03155127081507447,3620027.1,19
516260.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.012068541845070557,0.004207573632538653,0.13291139240506333,0.02960000000000007,0.024980316369622724,0.030461720017701754,0.01774433622536778,-0.020604395604395642,1517806.55,20
516630.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,0.04898443845644995,0.01787709497206702,0.24453551912568305,0.05300000000000016,0.04334879459428498,0.04979560756652779,0.03173510227770926,-0.042780748663101664,22065920.15,31
508068.SH,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.013529211863636093,-0.002093510118632347,0.08538899430740043,0.0596000000000001,0.010297260540120368,0.07324701912687437,0.013689104562615975,-0.03589569928885872,14053113.65,7
161121.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.005814171339130203,-0.022298456260720245,0.014234875444839812,0.008399999999999963,-0.014522821576763434,0.05351992957105134,0.010968911265353643,-0.022298456260720245,217181.9,12
159933.SZ,2024-03-14,2024-03-15,2024-03-22,2024-03-14,-0.011735287047353715,-0.017857142857142905,0.008936970837252867,0.011400000000000077,-0.01657382573413113,0.043246388826886806,0.014652430155832119,-0.0227790432801821,132659.4,8
159611.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.018276482046170273,0.005268703898840821,0.022508038585209,0.008449999999999958,0.008456659619450413,0.046190142662292155,0.012138140766108802,-0.03179487179487184,103047185.75,20
159625.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.005841895368324135,0.0018450184501843658,0.022598870056496967,0.009050000000000002,0.0046718164577455035,0.03587229081151855,0.009900035701444172,-0.024346257889990897,19811155.5,12
159709.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,-0.027472383610755435,0.005108556832694733,0.09762900976290112,0.021949999999999914,0.013652756311179903,0.08143745937412938,0.01893543525428979,-0.016249999999999987,351005.95,1
159730.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.030595237317919022,-0.0345982142857143,0.018845700824499323,0.010399999999999854,-0.020773192958623232,0.06263407983639735,0.009529325978847094,-0.04101995565410199,9394888.8,29
159996.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.025628689647059,-0.02372583479789092,0.03638059701492535,0.016950000000000243,-0.012224938875305735,0.05746027766460893,0.011204300435108618,-0.029694323144104806,70681611.45,28
180102.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.053481375930425346,-0.03923647932131491,-0.0060340098738342896,0.02560000000000051,-0.04349662162162171,0.06840121443409464,0.017199436308578907,-0.053291536050156796,14484166.05,30
180202.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,-0.016130156002877483,-0.008229284903518708,0.026582464385372262,0.10125000000000028,-0.01751328254575102,0.09563543498068605,0.012065942614130012,-0.023743016759776525,9322196.0,3
180501.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,-0.016668695760784114,-0.014302280633939013,0.026156941649899235,0.03315000000000001,-0.01122549874949108,0.055461577288787645,0.012831323625310413,-0.019230769230769162,10227105.8,2
508018.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.01273315384570739,-0.01851851851851849,-0.012359764213728752,0.028049999999999464,-0.04307454217178219,0.05924827290113566,0.014233684200518761,-0.04889214429591637,39692226.4,18
508027.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.007496331817887336,-0.01089743589743597,0.012135126270908403,0.03765000000000018,-0.02489888776541971,0.05732406051460792,0.014761536564453288,-0.02955974842767306,24823849.75,14
508066.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,-0.0010454078112926979,0.006576980568011814,-0.008831321754489307,0.009950000000000792,-0.021810971579643068,0.033462188027772566,0.012400728401043094,-0.03365592951032781,14255673.35,6
510880.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.003319306039215597,-0.004874878128046878,-0.0340694006309149,-0.009200000000000319,-0.014419981975022478,0.029343876660739454,0.008583606474871964,-0.04296017560363752,387349564.2,9
512040.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.00163838807390837,0.0,0.018244013683010207,0.008399999999999963,0.005404188245890618,0.04891058318735597,0.007892571863159822,-0.01439645625692143,36675300.95,8
515100.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,-0.004368386960784343,0.005299015897047843,-0.01263940520446094,-0.0005500000000002725,-0.003190091949708984,0.018942242730946246,0.006434069281307572,-0.01930215293244253,136857437.9,4
515110.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.005055547259498638,0.005681818181818121,0.04911092294665531,0.020500000000000185,0.012709959540643023,0.05970752551572822,0.008881233901034562,-0.011961722488038395,8198301.75,11
515150.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.007035574558573954,0.00508905852417274,0.04867256637168116,0.01980000000000004,0.012733954362874611,0.0597132075471698,0.009611394118004503,-0.012500000000000067,14832741.6,13
515300.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.004469510746376804,0.005098324836125379,-0.011461318051575908,0.0020000000000000018,-0.004113444468499594,0.0448256361922712,0.007694187723105589,-0.025550035486160416,39538809.5,10
515450.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.009417207324595278,-0.0015396458814472824,-0.019652305366591127,-0.0018499999999999073,-0.008409785932721792,0.04746142757994787,0.007172625646575138,-0.029235382308845703,71776262.0,16
516570.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.023841940027174102,0.008196721311475308,0.020746887966804906,0.007900000000000018,0.007164790174001956,0.054417689946277825,0.006729867853162284,-0.013477088948787075,3573060.8,27
560880.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.019545753514461417,-0.02311643835616428,0.039162112932604964,0.01784999999999992,-0.010150082415198991,0.05736125974621609,0.011676995579811859,-0.028936170212765955,18128222.2,21
