code,select_td,buy_td,t0,f1_ma20_slope,f2_close_ma20_dev,f3_mdd_5d,f4_ret_acc,f5_amt_ma20,f6_vol_20d,score,rank,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
510880.SH,2024-03-21,2024-03-22,2024-03-21,-1.0120582556813225,-0.4248168145050536,1.423281819784813,-0.029678620078939063,-0.1011167375094933,-1.183854619608989,-0.19570644362909187,2,2024-03-29,3.06,3.072,0.0039215686274509665,0.0039215686274509665,TRADE_OK,2025-12-23
515450.SH,2024-03-21,2024-03-22,2024-03-21,-1.0120582556813225,-0.24513372728414223,1.423281819784813,-0.13936160464463038,-0.583968917605901,-1.2822019020527742,-0.30227123827326013,3,2024-03-29,1.297,1.3099999999999998,0.010023130300693905,0.010023130300693905,TRADE_OK,2025-12-23
510500.SH,2024-03-28,2024-03-29,2024-03-28,-0.7666168725331843,-0.8568256659883655,-0.7458496404846096,1.3016138169203213,2.5588432788064663,-0.9586102097619726,0.8750187081336396,1,2024-04-03,5.295,5.459,0.030972615675165294,0.030972615675165294,TRADE_OK,2025-12-23
159915.SZ,2024-03-28,2024-03-29,2024-03-28,-0.4308814206482732,-0.8003801348213262,-0.7063474116602376,1.3449276832640333,2.538986181585352,-0.5238908449557955,0.8682499384765587,2,2024-04-03,1.756,1.79,0.019362186788154823,0.019362186788154823,TRADE_OK,2025-12-23
159667.SZ,2024-03-28,2024-03-29,2024-03-28,-0.6248155636625455,-0.6391922707735327,-2.0258525813184747,1.6947693134021324,-0.5827156791421532,-0.5141354205348725,0.6034604389706264,3,2024-04-03,0.889,0.909,0.022497187851518552,0.022497187851518552,TRADE_OK,2025-12-23
513800.SH,2024-04-02,2024-04-03,2024-04-02,-0.6435833839542406,-0.11785025782148936,0.587848030692109,0.05391174567640134,-0.5761329333054609,-1.0087091909440649,-0.12354755494037023,1,2024-04-12,1.404,1.421,0.012108262108262213,0.012108262108262213,TRADE_OK,2025-12-23
513880.SH,2024-04-02,2024-04-03,2024-04-02,-0.6852896512691382,-0.06732209166222114,0.9337645334328429,-0.09938785380002149,-0.34441726858130584,-0.8203250935664678,-0.21551569353165095,2,2024-04-12,1.4000000000000001,1.3860000000000001,-0.010000000000000009,-0.010000000000000009,TRADE_OK,2025-12-23
513000.SH,2024-04-02,2024-04-03,2024-04-02,-0.7228252918525377,-0.18172674263297156,0.5875647313992719,-0.41927525200375626,-0.551489925189698,-0.9129567825183363,-0.23507577848690808,3,2024-04-12,1.49,1.482,-0.005369127516778538,-0.005369127516778538,TRADE_OK,2025-12-23
513500.SH,2024-04-11,2024-04-12,2024-04-11,-0.8229203334082882,-0.42708794886897417,1.0276629948972495,0.0723164127862917,-0.15182341577785122,-1.144117740794322,-0.09136289227617,1,2024-04-19,1.801,1.709,-0.05108273181565792,-0.05108273181565792,TRADE_OK,2025-12-23
159655.SZ,2024-04-11,2024-04-12,2024-04-11,-0.524720522106795,-0.0622812680634038,1.2250083759948052,0.14063063058366812,-0.6117519959404454,-1.2736951871092488,-0.15193556581901513,2,2024-04-19,1.399,1.321,-0.05575411007862763,-0.05575411007862763,TRADE_OK,2025-12-23
513080.SH,2024-04-11,2024-04-12,2024-04-11,-0.8708825408204144,-0.6631208768839965,0.7144859852211491,-0.3015265422763543,-0.6117519959404454,-1.173777896349981,-0.15788269780849631,3,2024-04-19,1.62,1.594,-0.016049382716049387,-0.016049382716049387,TRADE_OK,2025-12-23
