code,select_td,buy_td,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
513080.SH,2024-04-11,2024-04-12,2024-04-19,1.62,1.594,-0.016049382716049387,-0.016049382716049387,TRADE_OK,2025-12-23
159755.SZ,2024-04-18,2024-04-19,2024-04-26,0.5780000000000001,0.5730000000000001,-0.00865051903114189,-0.00865051903114189,TRADE_OK,2025-12-23
513310.SH,2024-04-18,2024-04-19,2024-04-26,1.232,1.244,0.009740259740259827,0.009740259740259827,TRADE_OK,2025-12-23
159611.SZ,2024-04-25,2024-04-26,2024-04-30,0.98,0.987,0.0071428571428571175,0.0071428571428571175,TRADE_OK,2025-12-23
159934.SZ,2024-04-25,2024-04-26,2024-04-30,5.231,5.227,-0.0007646721468169693,-0.0007646721468169693,TRADE_OK,2025-12-23
159937.SZ,2024-04-25,2024-04-26,2024-04-30,5.287,5.285,-0.000378286362776592,-0.000378286362776592,TRADE_OK,2025-12-23
512400.SH,2024-04-25,2024-04-26,2024-04-30,1.059,1.069,0.009442870632672351,0.009442870632672351,TRADE_OK,2025-12-23
518800.SH,2024-04-25,2024-04-26,2024-04-30,5.223,5.22,-0.0005743825387708457,-0.0005743825387708457,TRADE_OK,2025-12-23
518880.SH,2024-04-25,2024-04-26,2024-04-30,5.29,5.286,-0.0007561436672968158,-0.0007561436672968158,TRADE_OK,2025-12-23
159934.SZ,2024-04-29,2024-04-30,2024-05-10,5.238,5.308,0.013363879343260665,0.013363879343260665,TRADE_OK,2025-12-23
159937.SZ,2024-04-29,2024-04-30,2024-05-10,5.296,5.363,0.012651057401812826,0.012651057401812826,TRADE_OK,2025-12-23
512400.SH,2024-04-29,2024-04-30,2024-05-10,1.079,1.111,0.029657089898053712,0.029657089898053712,TRADE_OK,2025-12-23
512890.SH,2024-04-29,2024-04-30,2024-05-10,1.03,1.0659999999999998,0.03495145631067942,0.03495145631067942,TRADE_OK,2025-12-23
515450.SH,2024-04-29,2024-04-30,2024-05-10,1.333,1.3739999999999999,0.030757689422355572,0.030757689422355572,TRADE_OK,2025-12-23
