code,select_td,buy_td,t0,net_ret,mom_5,mom_20,ma20_slope_5,ma20_dev,ma20_over_ma60,vol_20,mdd_10,amt_ma20,y_rel
515050.SH,2024-07-04,2024-07-05,2024-07-04,0.05326633165829153,0.004036326942482349,0.0551431601272534,0.017300000000000093,-0.001204577394097739,0.05058529897704522,0.019680357523971077,-0.054474708171206254,113237200.6,2
515880.SH,2024-07-04,2024-07-05,2024-07-04,0.04062229904926529,0.01043478260869568,0.03380782918149472,0.0132000000000001,-0.009799744354495155,0.016560068146052043,0.021608917410682073,-0.06239737274220036,213343761.45,1
159941.SZ,2024-07-18,2024-07-19,2024-07-18,-0.041516245487364656,-0.03776824034334769,0.011732851985559511,0.010299999999999976,-0.0034226785793660675,0.06471154301219428,0.014790114522970382,-0.03776824034334769,1262811427.2,0
159866.SZ,2024-07-25,2024-07-26,2024-07-25,-0.019083969465649053,-0.046363636363636274,0.0028680688336522042,0.00924999999999998,-0.04432196055208859,0.03397440929429307,0.017230510246568957,-0.072502210433245,177504097.95,2
513000.SH,2024-07-25,2024-07-26,2024-07-25,-0.030303030303030498,-0.05133470225872683,0.002169197396963085,0.010649999999999826,-0.04248704663212444,0.029699448692868557,0.014667210481823583,-0.07352941176470595,90517629.75,0
513300.SH,2024-07-25,2024-07-26,2024-07-25,-0.005571030640668551,-0.07010309278350524,-0.03529411764705881,0.003149999999999986,-0.06883113531370166,0.07065487703785567,0.021178110099330252,-0.09754877438719367,787889258.1,4
513520.SH,2024-07-25,2024-07-26,2024-07-25,-0.007746478873239315,-0.05418060200668895,0.0007077140835101137,0.015899999999999803,-0.054781242688592524,0.04304324079346444,0.02109171481116705,-0.07702349869451708,606838455.8,3
513880.SH,2024-07-25,2024-07-26,2024-07-25,-0.023882896764252592,-0.048210372534696955,0.001537279016141424,0.008800000000000141,-0.039262672811059884,0.027034190299496386,0.013322591720157883,-0.06460875807609479,216521800.35,1
512200.SH,2024-08-29,2024-08-30,2024-08-29,0.03054806828391743,-0.029565217391304133,1.5953488372093028,0.17659999999999998,0.18641365013554467,0.5571097500413837,0.3809412795972598,-0.06091370558375642,135789034.25,0
512200.SH,2024-09-12,2024-09-13,2024-09-12,0.07413945278022926,-0.027491408934707917,-0.05509181969949917,0.023900000000000032,-0.011871508379888263,0.5968034195976395,0.017753522959783774,-0.03839590443686003,123725858.0,0
