code,first_valid_date,coverage,max_consecutive_missing,n_days,n_valid,InstrumentName,OpenDate,OpenDate_raw,ExchangeID,InstrumentID,fail_reason
159209.SZ,2025-03-25,0.2545201668984701,536,719,183,,,,,,
159368.SZ,2025-03-24,0.25591098748261476,535,719,184,,,,,,
159381.SZ,2025-03-24,0.25591098748261476,535,719,184,,,,,,
588770.SH,2025-03-24,0.25591098748261476,535,719,184,,,,,,
588250.SH,2025-03-21,0.2573018080667594,534,719,185,,,,,,
588660.SH,2025-03-17,0.26286509040333794,530,719,189,,,,,,
159206.SZ,2025-03-14,0.26425591098748263,529,719,190,,,,,,
562810.SH,2025-03-13,0.26564673157162727,528,719,191,,,,,,
589520.SH,2025-03-13,0.26564673157162727,528,719,191,,,,,,
589630.SH,2025-03-12,0.2670375521557719,527,719,192,,,,,,
159393.SZ,2025-03-10,0.2698191933240612,525,719,194,,,,,,
588840.SH,2025-03-10,0.2698191933240612,525,719,194,,,,,,
513830.SH,2025-03-07,0.2712100139082058,524,719,195,,,,,,
589600.SH,2025-03-07,0.2712100139082058,524,719,195,,,,,,
589000.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589080.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589660.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589680.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589770.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589860.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589890.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589900.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589990.SH,2025-03-05,0.27399165507649514,522,719,197,,,,,,
589800.SH,2025-03-04,0.2753824756606398,521,719,198,,,,,,
